Start Time,Duration,BNS Inspiral Range ORG,BNS Inspiral Range DC
1265127585,4096,51.717600334900716,52.31043232171207
1265131681,4096,51.45341921510828,52.072172516291914
1265135777,4096,51.480299036119064,52.053252814557155
1265139873,4096,52.280588132145176,52.85123766192701
1265143969,4096,53.2137163728964,53.7602714472484
1265148065,4096,53.630210157188614,54.150917139059324
1265152161,4096,54.056632564259964,54.532245953976535
1265156257,4096,54.30836725472459,54.745451379206415
1265160353,4096,54.04381812461191,54.43999508122527
1265164449,4096,53.30976915014939,53.69349294258182
1265168545,4096,52.58262540491034,52.92993894556893
1265172641,4096,51.82849134328746,52.16490232056838
1265176737,4096,51.365954849353635,51.7337405275655
1265180833,4096,50.85113696225693,51.25148854124891
1265184929,4096,49.965421895301226,50.371258655672584
1265189025,4096,49.42351116602368,49.8189126642688
1265193121,4096,49.471543809465544,49.91016854187439
1265197217,4096,50.02466883568464,50.466077758262124
1265201313,4096,50.2045135157386,50.6572535045313
1265205409,4096,51.39818255340851,51.87896563109503
1265209505,4096,51.8513633354547,52.30670484887262
1265213601,4096,52.03195930268239,52.50483360654036
1265217697,4096,52.36991397272555,52.83176672073009
1265221793,4096,53.08017434350972,53.541661044012336
1265225889,4096,53.009188101307984,53.44581638566826
