Start Time,Duration,BNS Inspiral Range ORG,BNS Inspiral Range DC
1265227585,4096,53.19328318805905,53.4633913900395
1265231681,4096,53.596936803262984,53.86232398887441
1265235777,4096,53.57116831579844,53.799536926514335
1265239873,4096,53.78101628169897,54.044517391426105
1265243969,4096,54.038647080319,54.28999116774112
1265248065,4096,53.45450992342492,53.69680339432287
1265252161,4096,53.07936035744319,53.31219179125755
1265256257,4096,52.80998262306669,53.01887002762335
1265260353,4096,51.95786848880023,52.19189055331991
1265264449,4096,51.143402587701715,51.366543715456004
1265268545,4096,50.47363579408613,50.68794709716048
1265272641,4096,50.00420749461218,50.20259367651337
1265276737,4096,49.79009918563941,50.00109676222317
1265280833,4096,50.20555867053131,50.411505349572145
1265284929,4096,50.443694541172626,50.67419522482463
1265289025,4096,50.90819424632195,51.11712796799644
1265293121,4096,50.554717550486565,50.76450873109411
1265297217,4096,51.102293233990444,51.32390076793438
1265301313,4096,51.45776703521247,51.671472813190015
1265305409,4096,51.695787831719,51.91545592619468
1265309505,4096,52.20982551739079,52.43302945764205
1265313601,4096,52.68284754644508,52.913746562135486
1265317697,4096,53.29329929377838,53.52678872419369
1265321793,4096,53.642366800286425,53.84208363657743
1265325889,1696,53.98596215200499,54.17433097079162
1265327585,4096,53.96140443336741,54.2013443914236
1265331681,4096,53.84642465314831,54.088147492416326
1265335777,4096,53.69407837186895,53.91864929796554
1265339873,4096,53.014785483675254,53.23351744227961
1265343969,4096,51.36481962912678,51.58079241081786
1265348065,4096,50.12075190142626,50.31255709308397
1265352161,4096,48.79358548151579,48.98557167048208
1265127585,4096,51.717600334900716,51.923569131913446
1265131681,4096,51.45341921510828,51.67297671732611
1265135777,4096,51.480299036119064,51.66159636986699
1265139873,4096,52.280588132145176,52.48370247398814
1265143969,4096,53.2137163728964,53.407206506606265
1265148065,4096,53.630210157188614,53.854202892636785
1265152161,4096,54.056632564259964,54.28415125631645
1265156257,4096,54.30836725472459,54.53537510599508
1265160353,4096,54.04381812461191,54.25137946046134
1265164449,4096,53.30976915014939,53.51003752470658
1265168545,4096,52.58262540491034,52.779670807248856
1265172641,4096,51.82849134328746,52.00868902734574
1265176737,4096,51.365954849353635,51.53570231352437
1265180833,4096,50.85113696225693,51.01777478841534
1265184929,4096,49.965421895301226,50.11115765407657
1265189025,4096,49.42351116602368,49.574787492366866
1265193121,4096,49.471543809465544,49.62119284999593
1265197217,4096,50.02466883568464,50.15406262355814
1265201313,4096,50.2045135157386,50.346374897292364
1265205409,4096,51.39818255340851,51.534351546847226
1265209505,4096,51.8513633354547,51.996171553378076
1265213601,4096,52.03195930268239,52.19536839234707
1265217697,4096,52.36991397272555,52.55345036969858
1265221793,4096,53.08017434350972,53.26873353245729
1265225889,1696,53.06451307111227,53.24075838962346
