Start Time,Duration,BNS Inspiral Range ORG,BNS Inspiral Range DC
1265127585,4096,51.717600334900716,52.85466999753757
1265131681,4096,51.45341921510828,52.67318303522848
1265135777,4096,51.480299036119064,52.62306541570412
1265139873,4096,52.280588132145176,53.423391246727306
1265143969,4096,53.2137163728964,54.37072558871824
1265148065,4096,53.630210157188614,54.76088657735868
1265152161,4096,54.056632564259964,55.18674015259815
1265156257,4096,54.30836725472459,55.42192995541695
1265160353,4096,54.04381812461191,55.154416173232704
1265164449,4096,53.30976915014939,54.34753340059853
1265168545,4096,52.58262540491034,53.60311838675615
1265172641,4096,51.82849134328746,52.86807835865183
1265176737,4096,51.365954849353635,52.36805237598678
1265180833,4096,50.85113696225693,51.80484774243744
1265184929,4096,49.965421895301226,50.864108977880605
1265189025,4096,49.42351116602368,50.274136325774094
1265193121,4096,49.471543809465544,50.406819013146716
1265197217,4096,50.02466883568464,50.99393462895381
1265201313,4096,50.2045135157386,51.185061930747835
1265205409,4096,51.39818255340851,52.48180614742677
1265209505,4096,51.8513633354547,52.90753460476851
1265213601,4096,52.03195930268239,53.18595105511908
1265217697,4096,52.36991397272555,53.55860408791498
1265221793,4096,53.08017434350972,54.25055634012881
1265225889,4096,53.009188101307984,54.16570934807621
